param_0,param_1,param_2,param_3,param_4,param_5,param_6,mse
0.000404158740174761,1.8002626977860927,1.2228249631186465,42897892696502.24,2282212773468.345,32692803055.786842,303.9241692596595,0.005438866194466845
0.0002852901779904,1.90317221902979,1.1382631903659362,77448626139029.64,5881105481060.222,11900336050.42845,242.15867249090695,0.0099528901784775
0.0005047244271581,1.8411501789465547,1.2522179047577082,20703765569254.76,3028943908484.6523,17302205862.47742,728.9787921123207,0.0057041893123882
0.0002076792908496,1.876406308647241,1.1025840788148342,77127337190158.81,248795046797.0225,18249563354.998825,370.7439104817233,0.0076654817840737
0.0008653663737997,1.8115063017234203,1.354049728065729,79342729150317.61,4473963115736.842,21708049300.12673,690.399774024263,0.0091120840492303
0.0001682321989238,1.7724103739485144,1.1607741224579513,4098384940996.7656,4236261241445.318,35572506656.87025,191.77468521520493,0.0093315377467653
0.000711377720859,1.839692026698701,1.2700138156302272,63314779112350.8,1692398905463.7358,34668037651.56599,448.755022260262,0.0040795057680844
0.0003530257678612,1.8595708001405,1.1437110079452395,72595231005921.97,2661148784132.6743,8628580886.870623,165.52705918438733,0.0065354018373715
0.0002638106298187,1.8336472680869216,1.359513430183854,92341310183489.2,7194335252761.797,7517848554.693729,359.37518953777635,0.0044977269539605
0.0007632537196103,1.81140871886164,1.3721070453524589,42000186668708.92,1221670577805.4893,11651138566.434383,302.0943376235664,0.0073235430765454
0.0009835453198128,1.7908275946974754,1.3670455644086843,64235222287900.05,583237227009.9385,29865870291.14745,114.75212248042226,0.0095660147620884
0.0001536694583444,1.7924065694212914,1.5320284117013214,44049843969754.88,9670614859675.988,20348982298.746704,204.00051707401872,0.0112840693923349
0.0008708573818878,1.828791320323944,1.4155137178488075,76407811488024.89,2605038301916.793,48307123290.37488,173.5147395171225,0.0075409981065254
0.0003446717307327,1.8009776575126557,1.2541980758712266,32158458117380.48,1127666122488.027,31351864799.81535,743.3079443936275,0.0050652819173182
0.0001578188064832,1.8103592930648245,1.336215685497684,59369245871042.11,9829650181178.004,12441891331.57141,621.0328374059542,0.0076252419439671
0.0001349504352471,1.774064346216619,1.1081127354875209,23668853370889.105,3319030928381.7363,29312701225.0814,423.7761352676898,0.0034504584662856
0.0002399498895346,1.7635083628524244,1.170450909435749,5828439779579.641,6274188115173.461,5805993787.012993,177.19493124736746,0.0078303052351064
0.000359813190086,1.7676653176546098,1.1945119890384377,28323376959189.773,1335091560874.1345,32355454802.513123,432.29665318503976,0.0094865677267786
0.0006386792312292,1.7648722184821963,1.3344676138833165,12730713697150.352,3812427600640.804,23868054609.745743,594.2472638562322,0.00269552841965
0.000936998355651,1.8466928286477924,1.3678611131384968,70783859091810.88,543848768528.5508,7830937731.079758,747.3919591866434,0.0077238761878046
0.0001667408693034,1.8364036339047405,1.4132648604138234,94071534603772.38,8851924183476.867,33866562057.50893,618.8316311424855,0.0079675803850064
0.0005488680610812,1.627033024467528,1.3748199078254402,1197414833121.0,1675961246127.2627,48363172187.46989,603.8193859625608,0.0054173805182509
0.0004973582850101,1.7677834583446383,1.2176246128976345,27479987900704.145,1483509703995.6602,9114647520.70606,294.10267281346023,0.0050857016375048
0.0007256279018893,1.891482399076703,1.341258047148585,86192976279372.62,5166301289396.36,22671204917.64121,561.176020477506,0.0028515244223149
0.0006903125255156,1.861584958806634,1.323228400852531,32364354554563.76,7687091336324.811,16221978798.508644,393.06384664960206,0.0085630500718819
0.0007784730658411,1.8277497801929712,1.3166944814845918,17807305101305.246,3677684134151.7866,19621121332.98069,569.319938775152,0.0043425637294435
0.0001379194738606,1.6500820251358137,1.1330308254047106,1255123190639.4375,3647248501185.029,6329529699.869453,396.81453108787537,0.0046319707914022
0.0003938108505415,1.8692905496805907,1.159784131332461,87040851283829.28,1066999192065.3588,31036661984.17976,631.6311655931767,0.0040306716574914
0.000293764327861,1.7648807222023606,1.3078990085981783,35522638662718.234,9988260509260.0,44146336890.75708,467.73690073750913,0.0107477935762123
0.0003564224601074,1.8438588693737985,1.279007432423532,43381694681942.46,3359366481574.252,2454823929.8164825,660.5630031786859,0.0043805384129878
0.0008154591885504,1.813103467784822,1.5511527189984915,99349902456626.3,5648334326855.838,33902554363.94364,311.7019295692444,0.0085403318840071
0.0003431378412407,1.8379631979390976,1.2744200965070949,72350947026163.34,3655495000584.051,41332160973.24344,681.6574243111379,0.0027913312177846
2.420290619720697e-05,1.739535171724856,0.908974330406636,9237247842364.016,2567266054572.5376,12386957877.31558,538.9400192536414,0.006177273922648
0.000901747370675,1.82371832586272,1.4713670190531254,49198829966125.445,7315783870122.899,16217766816.680029,364.2281375371306,0.005162217293734
0.0009940432157755,1.88851773414056,1.203137893958686,60301906408346.56,159564235957.70215,19931731643.15916,317.44250752963126,0.0048294058347066
0.0007044592523335,1.850581598688957,1.527586811799262,98340550885535.78,8769985073576.748,15946377698.881226,624.9405267642447,0.0068409981065254
0.0004376677391697,1.8580492731858576,1.2620120685615794,37116419223948.87,3320834886105.7314,16324914907.352762,446.6253149210257,0.0054630167607559
0.0005404363803368,1.8233547559008003,1.633360162630975,58406207362058.11,9486617706505.416,2141436593.2296028,246.72240065410733,0.0108995257547599
8.984370606627309e-05,1.7997521916404366,1.2126794139854609,74419972332194.45,2481212362712.249,36783547398.634254,301.7179219517857,0.0107780400785441
0.000856848706517,1.827510240618076,1.3748033681884406,43116142620332.54,4303661370230.839,28459763133.03821,351.1423956602812,0.0047292059679511
0.0005183602512061,1.8374279720708728,1.3267055081203578,53293395865708.586,7149120441442.355,23032456848.77038,382.3649582918733,0.0027909647953995
4.321522219205272e-05,1.804481254890561,1.2742235570214688,47951378899626.44,3403739203577.8613,12095714810.304344,662.2242584358901,0.0117392659279778
