Duration,T_start,T_end,Fill,e_ratio
1086,300,275,0.032,0
2172,300,250,0.098,0
3258,300,225,0.257,0
4344,300,200,0.481,0
5430,300,175,0.667,0
6516,300,150,0.77,0
7602,300,125,0.824,0
8688,300,100,0.867,0
9774,300,75,0.898,0
10860,300,50,0.926,0
11946,300,25,0.951,0
2172,300,250,0.115,0
6516,300,150,0.766,0
10860,300,50,0.923,0
