simulation,time,ratio
0,21.179544783308042,0.01
0,543.7536706628105,0.3
0,1087.6149540953113,0.59
0,2796.892942014298,0.84
0,5490.838778633631,0.98
0,12508.520366805993,1.0
0,405130433.05631226,0.99
1,244.18706449431832,0.94
1,244.18706449431832,0.94
1,244.18706449431832,0.94
1,244.18706449431832,0.94
1,244.18706449431832,0.94
1,244.18706449431832,0.94
1,2572.8736237809685,0.91
1,2572.8736237809685,0.91
1,2572.8736237809685,0.91
1,2572.8736237809685,0.91
1,10423.153755990768,0.88
1,10423.153755990768,0.88
2,150.61872065246965,0.93
2,150.61872065246965,0.93
2,150.61872065246965,0.93
2,150.61872065246965,0.93
2,150.61872065246965,0.93
2,460.4781517646959,0.93
2,460.4781517646959,0.93
2,1073.0762404020013,0.91
2,7068.445307369408,0.89
2,7068.445307369408,0.89
2,7068.445307369408,0.89
2,17716.265445906905,0.76
3,1.4292743062471807,0.93
3,48.75755079310793,0.92
3,48.75755079310793,0.92
3,48.75755079310793,0.92
3,372.6946942164485,0.91
3,372.6946942164485,0.91
3,372.6946942164485,0.91
3,1113.1264341354815,0.86
3,2557.8355401228873,0.77
3,7257.663584267226,0.61
3,7257.663584267226,0.61
3,12989.603773862933,0.29
4,19.33288434540488,0.93
4,19.33288434540488,0.93
4,40.114941536318916,0.92
4,40.114941536318916,0.92
4,98.14619313398873,0.9
4,201.60646415607403,0.88
4,399.0677610346772,0.83
4,830.2036177028882,0.72
4,2158.1860748126846,0.33
4,5212.861094017475,0.14
4,5212.861094017475,0.14
4,16396.320279164654,0.01
5,4.353341422862628,0.9
5,11.567857752919497,0.89
5,23.48589085229256,0.84
5,48.197752839314,0.81
5,143.41202043722623,0.8
5,264.28661563980586,0.77
5,533.777211445857,0.47
5,659.635549272887,0.36
5,1582.9049350951645,0.03
5,3368.6989339551255,0.0
5,1.5811755571765874e+20,0.01
5,1.5811755571765874e+20,0.01
6,0.3611261052323095,0.52
6,10.491306213752681,0.33
6,37.88608673764678,0.05
6,67.52499998650275,0.04
6,195.84930870680063,0.0
6,195.84930870680063,0.0
6,4.642510670215416e+18,0.01
6,4.642510670215416e+18,0.01
6,4.642510670215416e+18,0.01
6,4.642510670215416e+18,0.01
6,4.642510670215416e+18,0.01
6,4.642510670215416e+18,0.01
